,Applied during year,Country / territory of asylum/residence,Origin,Otherwise closed,RSD procedure type / level,Rejected,Tota pending start-year,Total decisions,Total pending end-year,Year,of which UNHCR-assisted,statistics.filter.decisions_other,statistics.filter.decisions_recognized
116803,13,Morocco,Sierra Leone,0,U / FI,9,4,9,8,2015,8,0,0
116804,,Rep. of Moldova,Sierra Leone,,G / JR,,1,,1,2015,1,,
116805,,Mexico,Sierra Leone,,G / FI,,1,,1,2015,,,
116806,3,The former Yugoslav Republic of Macedonia,Sierra Leone,5,G / FA,,2,5,0,2015,0,,
116807,,Mali,Sierra Leone,,G / FI,,1,1,0,2015,,,1
116808,1,Malta,Sierra Leone,,G / AR,1,,1,,2015,,,
116809,,Mozambique,Sierra Leone,,G / FI,,6,,6,2015,0,,
116810,3,Mauritania,Sierra Leone,,U / AR,1,,2,1,2015,1,,1
116811,2,Mauritania,Sierra Leone,,U / FA,2,2,2,2,2015,2,,
116812,,Malaysia,Sierra Leone,,U / AR,2,3,2,1,2015,1,,
116813,7,Malaysia,Sierra Leone,8,U / FI,,4,8,3,2015,3,,
116814,2,Nigeria,Sierra Leone,1,G / FI,,1,3,0,2015,0,,2
116815,52,Netherlands,Sierra Leone,,G / RA,26,12,45,9,2015,,1,18
116816,38,Netherlands,Sierra Leone,8,G / FI,13,20,34,38,2015,,,13
116817,1,Norway,Sierra Leone,0,G / RA,1,0,1,0,2015,0,0,0
116818,9,Norway,Sierra Leone,1,G / AR,14,6,15,0,2015,0,0,0
116819,6,Norway,Sierra Leone,3,G / FI,2,0,5,2,2015,0,0,0
116820,1,Angola,Sierra Leone,,G / FI,,1498,2,1497,2015,0,,2
116821,,Argentina,Sierra Leone,,G / FI,,0,,0,2015,0,,
116822,0,South Africa,El Salvador,,G / FI,,1,,1,2015,0,,
116823,0,Uruguay,El Salvador,3,G / FI,0,3,3,0,2015,0,0,0
116824,7918,United States of America,El Salvador,3842,G / IN,22,3268,5934,5813,2015,,,2070
116825,10965,United States of America,El Salvador,4473,G / EO,1668,13206,6592,22967,2015,,80,371
116826,0,Venezuela (Bolivarian Republic of),El Salvador,,G / FI,,1,,1,2015,1,,
116827,155,Panama,El Salvador,5,G / FI,,64,5,214,2015,190,,
116828,1,Peru,El Salvador,,G / FI,,4,,5,2015,0,,
116829,1,Paraguay,El Salvador,,G / FI,,,,1,2015,0,,
116830,16,Sweden,El Salvador,7,G / RA,6,15,16,20,2015,0,3,0
116831,146,Sweden,El Salvador,10,G / FI,33,78,50,154,2015,0,2,5
116832,39,Sweden,El Salvador,2,G / AR,31,17,41,15,2015,0,8,0
116833,7,Australia,El Salvador,0,G / FI,0,4,,8,2015,0,,0
116834,2,Australia,El Salvador,0,G / AR,0,1,,3,2015,0,,0
116835,3,Belgium,El Salvador,,G / JR,,,,,2015,0,,
116836,37,Belgium,El Salvador,3,G / FI,5,48,61,22,2015,0,52,1
116837,32,Belgium,El Salvador,,G / RA,,,,,2015,,,
116838,440,Belize,El Salvador,,J / FI,,104,34,510,2015,510,,34
116839,0,Brazil,El Salvador,,G / FI,0,7,1,6,2015,1,,1
116840,175,Canada,El Salvador,6,G / FI,42,60,143,106,2015,,,95
116841,19,Canada,El Salvador,,G / AR,22,4,26,1,2015,,,4
116842,7,Chile,El Salvador,,G / FI,,3,3,7,2015,6,,3
116843,5,Colombia,El Salvador,0,G / FI,,0,,5,2015,4,,
116844,119,Costa Rica,El Salvador,6,G / AR,,,10,109,2015,109,,4
116845,801,Costa Rica,El Salvador,,G / FI,149,188,223,766,2015,766,,74
116846,1,Czech Rep.,El Salvador,1,G / FI,,0,1,0,2015,0,,
116847,,Germany,El Salvador,,G / JR,,3,,0,2015,0,,
116848,1,Germany,El Salvador,0,G / NA,0,8,,9,2015,0,0,0
116849,4,Denmark,El Salvador,,G / FI,0,0,,4,2015,0,0,0
116850,136,Spain,El Salvador,,G / FI,16,28,16,60,2015,,,
116851,3,Finland,El Salvador,0,G / FI,0,2,,5,2015,0,0,0
116852,1,France,El Salvador,,G / RA,,,,,2015,,,
116853,6,France,El Salvador,0,G / AR,0,0,1,5,2015,,1,0
116854,14,France,El Salvador,,G / FI,10,5,11,4,2015,,1,0
116855,22,United Kingdom,El Salvador,0,G / FI,23,27,27,31,2015,,0,4
116856,9,United Kingdom,El Salvador,0,G / AR,6,,10,,2015,,,4
116857,0,United Kingdom,El Salvador,0,G / RA,0,,,,2015,,0,0
116858,7,Greece,El Salvador,,G / FI,7,2,7,2,2015,,,
116859,5,Greece,El Salvador,,G / AR,,,1,4,2015,,,1
116860,24,Guatemala,El Salvador,4,G / FI,,47,55,16,2015,16,,51
116861,5,Honduras,El Salvador,2,G / FA,,,5,0,2015,0,,3
116862,1,Ireland,El Salvador,0,G / FI,0,0,,1,2015,0,,0
116863,209,Italy,El Salvador,,G / FI,30,64,75,193,2015,,39,6
116864,,Rep. of Korea,El Salvador,,G / FA,,2,,2,2015,0,,
116865,0,Latvia,El Salvador,0,G / FI,0,0,,0,2015,0,0,0
116866,1475,Mexico,El Salvador,392,G / FI,555,274,1475,274,2015,2,66,462
116867,99,Nicaragua,El Salvador,,G / FI,,46,45,100,2015,100,,45
116868,2,Netherlands,El Salvador,1,G / FI,2,1,3,,2015,,,
116869,11,Norway,El Salvador,3,G / AR,9,7,12,2,2015,0,0,0
116870,0,Norway,El Salvador,0,G / RA,0,0,,0,2015,0,0,0
116871,9,Norway,El Salvador,0,G / FI,11,5,11,3,2015,0,0,0
116872,5,Argentina,El Salvador,3,G / FI,1,4,4,5,2015,0,,
116873,0,United Kingdom,San Marino,0,G / RA,0,,,,2015,,0,0
116874,0,United Kingdom,San Marino,0,G / AR,0,,,,2015,,,0
116875,0,United Kingdom,San Marino,0,G / FI,0,0,,0,2015,,0,0
116876,1,Italy,San Marino,,G / FI,,,,1,2015,,,
116877,0,Latvia,San Marino,0,G / FI,0,0,,0,2015,0,0,0
116878,7,Zimbabwe,Somalia,2,G / FI,0,21,7,14,2015,14,2,3
116879,278,Zambia,Somalia,34,G / FI,4,296,127,447,2015,447,0,89
116880,2079,South Africa,Somalia,,G / FI,1112,2771,1730,3120,2015,312,,618
116881,563,South Africa,Somalia,93,G / AR,,1,93,471,2015,47,,
116882,701,United States of America,Somalia,38,G / EO,357,215,573,506,2015,,,178
116883,65,United States of America,Somalia,11,G / IN,1,137,50,163,2015,,,38
116884,0,Venezuela (Bolivarian Republic of),Somalia,,G / FI,,15,,15,2015,15,,
116885,1,New Zealand,Somalia,,G / FI,1,2,1,2,2015,0,,0
116886,5,Pakistan,Somalia,,U / AR,7,3,7,1,2015,1,,0
116887,39,Pakistan,Somalia,,U / FI,15,31,42,28,2015,28,,27
116888,,Panama,Somalia,,G / FI,,104,,104,2015,83,,
116889,15,Philippines,Somalia,2,G / FI,,9,7,17,2015,0,,5
116890,2,Papua New Guinea,Somalia,,G / FI,0,5,25,5,2015,,,25
116891,2,Poland,Somalia,2,G / FI,,0,4,,2015,,2,
116892,1,Portugal,Somalia,0,G / FI,0,3,4,0,2015,0,4,0
116893,10,Romania,Somalia,,G / FI,,1,6,6,2015,6,1,5
116894,2,Romania,Somalia,,G / RA,,,,,2015,,,
116895,,Romania,Somalia,,G / JR,,2,,,2015,,,
116896,1,Russian Federation,Somalia,0,G / FI,1,0,1,0,2015,0,0,0
116897,1,Russian Federation,Somalia,0,G / TA,1,1,2,0,2015,0,1,0
116898,0,Rwanda,Somalia,,G / FI,,1,,1,2015,1,,
116899,,Saudi Arabia,Somalia,19,U / FI,,19,19,0,2015,0,,
116900,25,Sudan,Somalia,0,G / FI,0,20,13,32,2015,32,0,13
116901,23,Sudan,Somalia,0,U / FI,0,19,3,39,2015,39,0,3
116902,,Senegal,Somalia,,G / FA,,9,,9,2015,9,,
116903,2,El Salvador,Somalia,2,G / FI,,,2,0,2015,0,,
116904,3835,Serbia and Kosovo (S/RES/1244 (1999)),Somalia,3843,G / FI,,32,3843,24,2015,24,,
116905,136,South Sudan,Somalia,12,U / FI,,18,14,140,2015,140,,2
116906,4,Slovakia,Somalia,,G / RA,,,,,2015,,,
116907,,Slovakia,Somalia,1,G / FI,,,4,,2015,0,3,
116908,7,Slovenia,Somalia,,G / FI,,,7,,2015,0,,7
116909,827,Sweden,Somalia,67,G / AR,857,288,977,152,2015,0,25,28
116910,4690,Sweden,Somalia,942,G / FI,299,3088,2115,4806,2015,0,192,682
116911,771,Sweden,Somalia,623,G / RA,87,531,794,770,2015,0,32,52
116912,33,Swaziland,Somalia,,G / FI,,29,22,40,2015,2,,22
116913,,Syrian Arab Rep.,Somalia,2,U / AR,,3,2,1,2015,1,,
116914,7,Syrian Arab Rep.,Somalia,,U / FI,,5,,12,2015,12,,
116915,1,Chad,Somalia,,G / FA,,23,,24,2015,24,,
116916,9,Thailand,Somalia,,U / AR,,1,1,9,2015,9,,1
116917,249,Thailand,Somalia,50,U / FI,28,268,112,405,2015,405,,34
116918,,Thailand,Somalia,1,U / RA,,1,1,0,2015,0,,
116919,32,Tunisia,Somalia,40,U / FI,6,24,51,5,2015,5,,5
116920,32,Tunisia,Somalia,25,U / AR,6,1,33,0,2015,0,,2
116921,5,Turkey,Somalia,12,U / AR,1,31,14,22,2015,22,,1
116922,638,Turkey,Somalia,399,U / FI,5,1460,522,1576,2015,1576,,118
116923,7,Turkey,Somalia,7,U / RA,,3,10,0,2015,0,,3
116924,3846,Uganda,Somalia,0,G / FA,1,10995,7351,7490,2015,7490,0,7350
116925,24,Ukraine,Somalia,11,U / FI,0,2,17,9,2015,9,,6
116926,111,Ukraine,Somalia,31,G / FI,52,173,84,200,2015,157,1,0
116927,93,Ukraine,Somalia,32,G / JR,24,132,63,162,2015,81,,7
116928,14,Australia,Somalia,1,G / FI,0,49,8,46,2015,0,,7
116929,6,Australia,Somalia,1,G / AR,2,5,4,8,2015,0,,1
116930,2040,Austria,Somalia,79,G / FA,247,1539,1153,2697,2015,0,279,548
116931,33,Austria,Somalia,,G / RA,,,,,2015,,,
116932,0,Burundi,Somalia,3,G / FI,0,6,3,3,2015,3,0,0
116933,3,Burundi,Somalia,,G / AR,3,,3,0,2015,0,,
116934,2012,Belgium,Somalia,10,G / FI,105,255,654,1176,2015,0,274,265
116935,79,Belgium,Somalia,34,G / RA,,,34,,2015,,,
116936,80,Belgium,Somalia,7,G / JR,41,,49,52,2015,0,,1
116937,1,Bangladesh,Somalia,2,U / FI,2,3,4,0,2015,,,
116938,3,Bulgaria,Somalia,14,G / FI,2,31,16,17,2015,17,,
116939,2,Bulgaria,Somalia,,G / RA,,,,,2015,,,
116940,2,Bahrain,Somalia,,U / FI,,0,,2,2015,2,,
116941,41,Brazil,Somalia,,G / FI,0,205,,246,2015,53,,0
116942,4,Botswana,Somalia,11,G / FI,25,42,36,10,2015,10,,
116943,506,Canada,Somalia,26,G / FI,135,181,371,361,2015,,,210
116944,107,Canada,Somalia,1,G / AR,46,23,82,52,2015,,,35
116945,39,Switzerland,Somalia,,G / FI,,,,,2015,,,
116946,5,China,Somalia,1,U / AR,8,38,14,29,2015,29,,5
116947,15,China,Somalia,4,U / FI,5,37,34,18,2015,18,,25
116948,,China,Somalia,1,U / RA,,1,1,0,2015,0,,
116949,59,Dem. Rep. of the Congo,Somalia,0,G / FI,0,88,3,144,2015,144,0,3
116950,1,Congo,Somalia,,G / FA,,,,1,2015,1,,
116951,2,Colombia,Somalia,4,G / FI,,2,4,0,2015,0,,
116952,14,Costa Rica,Somalia,,G / FI,,5,,19,2015,19,,
116953,2,Cuba,Somalia,1,U / FA,1,1,3,0,2015,0,,1
116954,66,Cyprus,Somalia,31,G / FI,,33,37,62,2015,46,3,3
116955,1,Cyprus,Somalia,,G / RA,,,,1,2015,,,
116956,,Cyprus,Somalia,,G / AR,,1,,1,2015,,,
116957,1,Czech Rep.,Somalia,1,G / FI,,0,1,0,2015,0,,
116958,5126,Germany,Somalia,927,G / NA,180,5965,1854,9319,2015,0,340,407
116959,266,Germany,Somalia,119,G / RA,3,170,184,361,2015,,35,27
116960,,Germany,Somalia,869,G / JR,109,2251,1135,1742,2015,0,108,49
116961,177,Djibouti,Somalia,22,G / FI,,62,199,40,2015,40,,177
116962,147,Denmark,Somalia,,G / AR,123,57,141,57,2015,0,16,2
116963,257,Denmark,Somalia,,G / FI,159,172,282,108,2015,0,118,5
116964,1,Algeria,Somalia,1,U / FI,,,1,0,2015,,,
116965,58,Egypt,Somalia,,U / RA,,60,18,100,2015,100,,18
116966,1803,Egypt,Somalia,,U / FI,6,1525,286,3042,2015,3042,80,200
116967,10,Egypt,Somalia,,U / AR,,47,8,49,2015,49,,8
116968,160,Spain,Somalia,,G / FI,54,84,164,50,2015,,102,8
116969,,Ethiopia,Somalia,1,J / FI,,5,5,0,2015,,,4
116970,1721,Finland,Somalia,148,G / FI,14,271,564,1415,2015,0,171,231
116971,7,Finland,Somalia,1,G / RA,2,,4,3,2015,0,0,1
116972,1354,France,Somalia,,G / FI,700,364,784,858,2015,,45,39
116973,519,France,Somalia,19,G / AR,125,151,271,416,2015,,108,19
116974,9,France,Somalia,,G / RA,,,,,2015,,,
116975,408,United Kingdom,Somalia,65,G / FI,298,568,602,417,2015,,25,214
116976,0,United Kingdom,Somalia,0,G / RA,1,,1,,2015,,0,0
116977,254,United Kingdom,Somalia,17,G / AR,105,,183,,2015,,,61
116978,3,Georgia,Somalia,,G / FI,,0,,3,2015,3,,
116979,20,Ghana,Somalia,,G / FI,,23,15,28,2015,28,,15
116980,15,Greece,Somalia,1,G / AR,9,11,14,11,2015,,,4
116981,16,Greece,Somalia,,G / RA,,,,,2015,,,
116982,95,Greece,Somalia,52,G / FI,26,41,122,23,2015,,28,16
116983,2,China HK,Somalia,,U / FI,,36,5,33,2015,0,,5
116984,,China HK,Somalia,,U / AR,2,2,2,0,2015,0,,
116985,2,Croatia,Somalia,,G / FI,,1,3,0,2015,0,2,1
116986,,Croatia,Somalia,,G / JR,1,1,1,0,2015,,,
116987,2,Haiti,Somalia,2,U / FI,,,2,0,2015,,,
116988,352,Hungary,Somalia,243,G / FI,7,33,317,73,2015,70,49,18
116989,336,Hungary,Somalia,,G / RA,,,,,2015,,,
116990,6,Indonesia,Somalia,,U / AR,1,3,3,6,2015,6,,2
116991,481,Indonesia,Somalia,29,U / FI,5,430,193,718,2015,718,,159
116992,14,India,Somalia,0,U / AR,6,0,6,8,2015,8,0,0
116993,201,India,Somalia,0,U / FI,60,78,99,180,2015,180,0,39
116994,15,Ireland,Somalia,5,G / FI,5,11,17,13,2015,0,,7
116995,2,Ireland,Somalia,11,G / SP,8,36,32,6,2015,0,,13
116996,2,Ireland,Somalia,,G / RA,,,,,2015,0,,
116997,9,Ireland,Somalia,2,G / AR,0,6,5,10,2015,0,,3
116998,,Iraq,Somalia,,U / FI,,8,,8,2015,8,,
116999,6,Iceland,Somalia,2,G / FI,0,1,4,3,2015,0,0,2
117000,,Israel,Somalia,,G / FA,,,,,2015,,,
117001,719,Italy,Somalia,2,G / FI,73,431,1147,416,2015,,875,197
117002,7,Jordan,Somalia,0,U / FI,5,195,43,159,2015,159,0,38
117003,1,Jordan,Somalia,0,U / AR,0,2,1,2,2015,2,0,1
117004,1,Jordan,Somalia,0,U / RA,0,0,,1,2015,1,0,0
117005,3,Kenya,Somalia,16,J / AR,,87,21,69,2015,69,,5
117006,503,Kenya,Somalia,770,J / FI,4,2533,2112,924,2015,924,1263,75
117007,1,Rep. of Korea,Somalia,,G / FA,,,,1,2015,1,,
117008,114,Kuwait,Somalia,8,U / FI,,557,298,373,2015,373,,290
117009,3,Lebanon,Somalia,,U / AR,5,4,5,2,2015,2,,
117010,8,Lebanon,Somalia,6,U / FI,2,10,14,4,2015,4,,6
117011,1,Liberia,Somalia,1,J / FI,,1,2,0,2015,,,1
117012,,Libya,Somalia,,U / FI,,2168,,2168,2015,2168,,
117013,8,Liechtenstein,Somalia,4,G / FI,5,9,13,4,2015,0,4,
117014,5,Luxembourg,Somalia,1,G / AR,4,5,5,5,2015,0,,
117015,3,Luxembourg,Somalia,,G / JR,2,1,3,2,2015,0,,1
117016,1,Luxembourg,Somalia,,G / RA,,,,,2015,0,,
117017,10,Luxembourg,Somalia,8,G / FI,3,12,15,13,2015,0,1,3
117018,0,Latvia,Somalia,0,G / FI,1,1,1,0,2015,0,0,0
117019,10,Morocco,Somalia,9,U / FI,0,8,9,9,2015,9,0,0
117020,,Madagascar,Somalia,,U / FI,,1,1,0,2015,0,,1
117021,1,Mexico,Somalia,,G / FI,,3,1,3,2015,0,,1
117022,57,The former Yugoslav Republic of Macedonia,Somalia,116,G / FA,,59,116,0,2015,0,,
117023,37,Malta,Somalia,3,G / FI,3,7,63,13,2015,0,51,6
117024,12,Malta,Somalia,,G / AR,7,,8,4,2015,,,1
117025,156,Montenegro,Somalia,156,G / FA,0,0,156,0,2015,0,0,0
117026,913,Mozambique,Somalia,266,G / FI,,2322,266,2969,2015,1689,,
117027,1,Mauritania,Somalia,,U / FA,,,1,0,2015,0,,1
117028,12,Malawi,Somalia,0,G / FI,0,16,13,15,2015,15,0,13
117029,503,Malaysia,Somalia,115,U / FI,1,209,167,545,2015,545,,51
117030,7,Malaysia,Somalia,,U / AR,21,37,26,18,2015,18,,5
117031,3,Namibia,Somalia,,G / FI,,4,1,6,2015,6,,1
117032,195,Netherlands,Somalia,,G / RA,88,52,149,37,2015,,1,60
117033,263,Netherlands,Somalia,19,G / FI,71,100,150,224,2015,,6,54
117034,497,Norway,Somalia,97,G / FI,185,322,436,353,2015,0,15,139
117035,562,Norway,Somalia,5,G / AR,710,287,719,77,2015,0,2,2
117036,64,Norway,Somalia,42,G / RA,23,0,70,22,2015,0,1,4
117037,2,Nepal,Somalia,,U / FI,,1,3,0,2015,0,,3
117038,0,Nauru,Somalia,,G / FI,0,29,26,4,2015,0,,26
117039,0,Angola,Somalia,5,G / FI,,1752,21,1731,2015,0,,16
117040,1,Albania,Somalia,1,G / FI,,0,1,0,2015,0,,
117041,1,Argentina,Somalia,,G / FI,,0,,1,2015,0,,
117042,1,Brazil,Saint-Pierre-et-Miquelon,,G / FI,0,0,,1,2015,0,,0
117043,2,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),,G / FI,1,5,1,6,2015,1,,
117044,0,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),,G / AR,,1,,1,2015,0,,
117045,,United States of America,Serbia and Kosovo (S/RES/1244 (1999)),8,G / EO,,116,28,133,2015,,,20
117046,146,United States of America,Serbia and Kosovo (S/RES/1244 (1999)),60,G / IN,0,180,92,244,2015,,,32
117047,,Peru,Serbia and Kosovo (S/RES/1244 (1999)),,G / FI,,1,,1,2015,0,,
117048,5,Portugal,Serbia and Kosovo (S/RES/1244 (1999)),0,G / FI,0,0,,5,2015,0,0,0
117049,,Romania,Serbia and Kosovo (S/RES/1244 (1999)),,G / JR,1,0,1,,2015,,,
117050,6,Romania,Serbia and Kosovo (S/RES/1244 (1999)),3,G / FI,3,2,6,2,2015,2,,
117051,1,Russian Federation,Serbia and Kosovo (S/RES/1244 (1999)),0,G / FI,1,0,1,0,2015,0,0,0
117052,1,Russian Federation,Serbia and Kosovo (S/RES/1244 (1999)),0,G / TA,1,0,1,0,2015,0,0,0
117053,3,Slovenia,Serbia and Kosovo (S/RES/1244 (1999)),,G / RA,,,,,2015,,,
117054,32,Slovenia,Serbia and Kosovo (S/RES/1244 (1999)),7,G / FI,35,13,42,4,2015,0,,
117055,1592,Sweden,Serbia and Kosovo (S/RES/1244 (1999)),154,G / AR,1535,431,1729,339,2015,0,39,1
117056,2331,Sweden,Serbia and Kosovo (S/RES/1244 (1999)),1229,G / FI,1808,1418,3058,431,2015,0,19,2
117057,503,Sweden,Serbia and Kosovo (S/RES/1244 (1999)),209,G / RA,304,159,565,170,2015,0,51,1
117058,0,Ukraine,Serbia and Kosovo (S/RES/1244 (1999)),0,G / FI,0,1,,1,2015,0,0,0
117059,6,Australia,Serbia and Kosovo (S/RES/1244 (1999)),0,G / FI,0,3,,6,2015,0,,0
117060,1,Australia,Serbia and Kosovo (S/RES/1244 (1999)),1,G / AR,1,1,2,0,2015,0,,0
117061,2574,Austria,Serbia and Kosovo (S/RES/1244 (1999)),585,G / FA,2802,1807,3456,850,2015,0,41,28
117062,230,Austria,Serbia and Kosovo (S/RES/1244 (1999)),,G / RA,,,,,2015,,,
117063,630,Belgium,Serbia and Kosovo (S/RES/1244 (1999)),29,G / FI,576,145,706,174,2015,0,0,101
117064,481,Belgium,Serbia and Kosovo (S/RES/1244 (1999)),238,G / RA,,,238,,2015,,,
117065,278,Belgium,Serbia and Kosovo (S/RES/1244 (1999)),62,G / JR,126,,202,50,2015,0,,14
117066,2,Bosnia and Herzegovina,Serbia and Kosovo (S/RES/1244 (1999)),,G / JR,,,,2,2015,0,,
117067,1,Bosnia and Herzegovina,Serbia and Kosovo (S/RES/1244 (1999)),1,G / FI,,,1,0,2015,0,,
117068,1,Brazil,Serbia and Kosovo (S/RES/1244 (1999)),,G / FI,0,0,,1,2015,0,,0
117069,23,Canada,Serbia and Kosovo (S/RES/1244 (1999)),1,G / AR,21,14,30,7,2015,,,8
117070,45,Canada,Serbia and Kosovo (S/RES/1244 (1999)),5,G / FI,20,27,45,30,2015,,,20
117071,608,Switzerland,Serbia and Kosovo (S/RES/1244 (1999)),154,G / FI,668,455,940,339,2015,0,105,13
117072,3,Cyprus,Serbia and Kosovo (S/RES/1244 (1999)),,G / FI,,,,3,2015,,,
117073,,Cyprus,Serbia and Kosovo (S/RES/1244 (1999)),,G / AR,,1,,1,2015,,,
117074,18,Czech Rep.,Serbia and Kosovo (S/RES/1244 (1999)),14,G / FI,13,9,27,4,2015,0,,
117075,4,Czech Rep.,Serbia and Kosovo (S/RES/1244 (1999)),,G / RA,,,,,2015,,,
117076,,Germany,Serbia and Kosovo (S/RES/1244 (1999)),14789,G / JR,9013,8037,23916,13542,2015,0,114,
117077,13913,Germany,Serbia and Kosovo (S/RES/1244 (1999)),8253,G / RA,2620,6184,10890,9255,2015,,17,0
117078,50127,Germany,Serbia and Kosovo (S/RES/1244 (1999)),3981,G / NA,37130,13567,41252,22324,2015,0,124,17
117079,199,Denmark,Serbia and Kosovo (S/RES/1244 (1999)),,G / FI,165,11,165,7,2015,0,0,0
117080,7,Denmark,Serbia and Kosovo (S/RES/1244 (1999)),,G / AR,11,4,11,0,2015,0,0,0
117081,1,Egypt,Serbia and Kosovo (S/RES/1244 (1999)),,U / FI,,,1,0,2015,,,1
117082,21,Spain,Serbia and Kosovo (S/RES/1244 (1999)),,G / FI,6,,6,10,2015,,,
117083,195,Finland,Serbia and Kosovo (S/RES/1244 (1999)),38,G / FI,139,29,177,55,2015,0,0,0
117084,6,Finland,Serbia and Kosovo (S/RES/1244 (1999)),0,G / RA,5,,5,0,2015,0,0,0
117085,5273,France,Serbia and Kosovo (S/RES/1244 (1999)),,G / FI,3126,1121,3422,2081,2015,,101,195
117086,437,France,Serbia and Kosovo (S/RES/1244 (1999)),,G / RA,,,,,2015,,,
117087,2233,France,Serbia and Kosovo (S/RES/1244 (1999)),943,G / AR,2274,1659,3622,1642,2015,,149,256
117088,36,United Kingdom,Serbia and Kosovo (S/RES/1244 (1999)),26,G / FI,36,41,62,27,2015,,0,0
117089,1,United Kingdom,Serbia and Kosovo (S/RES/1244 (1999)),1,G / RA,0,,1,,2015,,0,0
117090,13,United Kingdom,Serbia and Kosovo (S/RES/1244 (1999)),0,G / AR,5,,6,,2015,,,1
117091,1,Greece,Serbia and Kosovo (S/RES/1244 (1999)),,G / AR,,,1,,2015,,1,
117092,1,Greece,Serbia and Kosovo (S/RES/1244 (1999)),,G / FI,,1,1,1,2015,,,1
117093,20,Croatia,Serbia and Kosovo (S/RES/1244 (1999)),11,G / FI,13,5,24,1,2015,1,,
117094,4,Croatia,Serbia and Kosovo (S/RES/1244 (1999)),1,G / JR,6,5,7,2,2015,2,,
117095,24543,Hungary,Serbia and Kosovo (S/RES/1244 (1999)),33582,G / FI,1255,10928,34839,423,2015,74,,2
117096,23746,Hungary,Serbia and Kosovo (S/RES/1244 (1999)),,G / RA,,,,,2015,,,
117097,2,Ireland,Serbia and Kosovo (S/RES/1244 (1999)),2,G / SP,0,2,2,2,2015,0,,0
117098,11,Ireland,Serbia and Kosovo (S/RES/1244 (1999)),0,G / AR,3,3,4,10,2015,0,,1
117099,16,Ireland,Serbia and Kosovo (S/RES/1244 (1999)),0,G / FI,4,2,4,14,2015,0,,0
117100,6,Iceland,Serbia and Kosovo (S/RES/1244 (1999)),3,G / FI,0,0,3,3,2015,0,0,0
117101,452,Italy,Serbia and Kosovo (S/RES/1244 (1999)),,G / FI,105,129,219,415,2015,,98,16
117102,2,Jordan,Serbia and Kosovo (S/RES/1244 (1999)),0,U / FI,0,0,,2,2015,2,0,0
117103,30,Liechtenstein,Serbia and Kosovo (S/RES/1244 (1999)),12,G / FI,1,5,13,22,2015,0,,
117104,148,Luxembourg,Serbia and Kosovo (S/RES/1244 (1999)),24,G / AR,121,63,155,47,2015,0,1,9
117105,28,Luxembourg,Serbia and Kosovo (S/RES/1244 (1999)),2,G / JR,28,5,30,2,2015,0,,
117106,31,Luxembourg,Serbia and Kosovo (S/RES/1244 (1999)),30,G / RA,,,30,,2015,0,,
117107,232,Luxembourg,Serbia and Kosovo (S/RES/1244 (1999)),114,G / FI,142,111,264,110,2015,0,5,3
117108,0,Latvia,Serbia and Kosovo (S/RES/1244 (1999)),0,G / FI,0,0,,0,2015,0,0,0
117109,4,The former Yugoslav Republic of Macedonia,Serbia and Kosovo (S/RES/1244 (1999)),3,G / FA,5,7,8,3,2015,3,,
117110,4,Malta,Serbia and Kosovo (S/RES/1244 (1999)),1,G / FI,2,,5,,2015,0,1,1
117111,2,Malta,Serbia and Kosovo (S/RES/1244 (1999)),,G / AR,,,,2,2015,,,
117112,6,Montenegro,Serbia and Kosovo (S/RES/1244 (1999)),4,G / FA,2,0,6,0,2015,0,0,0
117113,1121,Netherlands,Serbia and Kosovo (S/RES/1244 (1999)),219,G / FI,210,117,429,451,2015,,,
117114,13,Netherlands,Serbia and Kosovo (S/RES/1244 (1999)),,G / RA,11,4,11,,2015,,,
117115,52,Norway,Serbia and Kosovo (S/RES/1244 (1999)),10,G / FI,40,20,54,1,2015,0,4,0
117116,0,Norway,Serbia and Kosovo (S/RES/1244 (1999)),0,G / RA,0,0,,0,2015,0,0,0
117117,191,Norway,Serbia and Kosovo (S/RES/1244 (1999)),18,G / AR,174,20,192,15,2015,0,0,0
117118,1,Albania,Serbia and Kosovo (S/RES/1244 (1999)),,G / FI,,13,2,12,2015,12,,2
117119,,Argentina,Serbia and Kosovo (S/RES/1244 (1999)),,G / FI,,0,,0,2015,0,,
117120,3,United States of America,South Sudan,,G / IN,2,2,2,4,2015,,,
117121,,United States of America,South Sudan,,G / EO,,,,4,2015,,,
117122,1,Romania,South Sudan,,G / FI,2,0,2,1,2015,0,,
117123,1,Serbia and Kosovo (S/RES/1244 (1999)),South Sudan,,G / FI,,,1,0,2015,,,1
117124,0,Sweden,South Sudan,0,G / AR,1,1,1,0,2015,0,0,0
117125,3,Sweden,South Sudan,2,G / FI,0,3,2,4,2015,0,0,0
117126,2,Sweden,South Sudan,0,G / RA,0,0,,2,2015,0,0,0
117127,,Syrian Arab Rep.,South Sudan,,U / FI,,1,,1,2015,1,,
117128,,Syrian Arab Rep.,South Sudan,2,U / RA,,7,2,5,2015,5,,
117129,,Syrian Arab Rep.,South Sudan,2,U / AR,,7,7,0,2015,0,,5
117130,,Chad,South Sudan,,G / FA,,2,2,0,2015,0,,2
117131,,Turkey,South Sudan,,U / FI,,3,3,0,2015,0,,3
117132,120,Uganda,South Sudan,0,G / FA,0,833,34,919,2015,919,0,34
